Long,Lat,Star,Country
-73.9216868293002,40.8100856240886,4.5,USA
-73.94171,40.8173,4.5,USA
-73.92752,40.80737,4.0,USA
-73.94467,40.8133399,4.0,USA
-73.9168277,40.8185645,4.5,USA
-73.9460373,40.8199158,4.0,USA
-73.928371,40.810612,4.0,USA
-73.9291545436554,40.807874991887,4.0,USA
-73.94488,40.80815,3.5,USA
-73.9214859008789,40.8173294067383,4.5,USA
-73.9148699,40.81464,4.5,USA
-73.92142,40.810552,4.5,USA
-73.92271,40.81711,4.0,USA
-73.91294,40.82368,4.5,USA
-73.9201099,40.80357,4.0,USA
-73.91855,40.81902,4.5,USA
-73.93403,40.80278,4.5,USA
-73.9161737,40.8200475,4.0,USA
-73.94082,40.80503,4.0,USA
-73.91669,40.82847,4.5,USA
-73.94619,40.82772,4.5,USA
-73.9221,40.81739,4.0,USA
-73.92511,40.82704,4.0,USA
-73.94057,40.825227,5.0,USA
-73.94064,40.82248,4.5,USA
-73.94496,40.80894,4.0,USA
-73.944404,40.808609,3.5,USA
-73.9269925,40.8072349,4.0,USA
-73.9412695,40.8175925,4.0,USA
-73.9191630846558,40.8256002740113,4.0,USA
-73.92528,40.81561,4.0,USA
-73.90966713749,40.811884525549,4.0,USA
-73.922842,40.809496,4.5,USA
-73.913923,40.805956,3.5,USA
-73.9238891662151,40.8233528648988,5.0,USA
-73.9211495186532,40.8264025511696,4.5,USA
-73.9456,40.8242199,4.5,USA
-73.9364389139661,40.8200624492871,4.0,USA
-73.92442,40.8281599,4.0,USA
-73.921291831937,40.8251460648352,3.5,USA
-73.93043,40.80826,3.5,USA
-73.92916,40.80856,4.0,USA
-73.941917,40.818443,4.0,USA
-73.92836,40.81901,4.0,USA
-73.927753,40.811033,4.5,USA
-73.9450228,40.8085637,3.5,USA
-73.9439219,40.810025,4.0,USA
-73.92637,40.819665,3.5,USA
-73.9115964114002,40.8225131696248,3.5,USA
-73.9222125,40.8135242,4.5,USA
-73.9195958,40.8036447,4.5,USA
-73.927612,40.807149,4.0,USA
-73.94171,40.83794,4.0,USA
-73.94116,40.83346,4.5,USA
-73.93691,40.80262,4.0,USA
-73.9399063,40.8200857,4.5,USA
-73.94479,40.82355,4.0,USA
-73.9062440022826,40.8156549792076,5.0,USA
-73.9458632469177,40.8158229565315,4.0,USA
-73.92768,40.81096,4.5,USA
-73.943519,40.826335,4.0,USA
-73.925827,40.828502,3.5,USA
-73.94445,40.82129,4.0,USA
-73.94203,40.8375,4.0,USA
-73.9077866079099,40.826142342656,4.0,USA
-73.9438552856445,40.8093070983887,4.0,USA
-73.9441050339131,40.8142691169743,4.0,USA
-73.9268930759751,40.8066471932753,3.5,USA
-73.9273147583008,40.8212890625,3.5,USA
-73.9171029,40.828643,3.0,USA
-73.944674338918,40.8135751782834,4.0,USA
-73.90317,40.81533,4.0,USA
-73.94061,40.80622,4.0,USA
-73.91717,40.8178,3.0,USA
-73.9370122320218,40.8143185409025,4.0,USA
-73.9456482098171,40.8071360749804,3.5,USA
-73.937028,40.8282593,3.5,USA
-73.91632,40.822647,3.5,USA
-73.9431898387905,40.8100306079669,4.0,USA
-73.930111,40.821711,2.5,USA
-73.9148712,40.81464,4.0,USA
-73.92291,40.80877,4.0,USA
-73.91748,40.80622,4.0,USA
-73.9223738014698,40.8181062340736,2.0,USA
-73.9150771122443,40.8182379159255,3.0,USA
-73.90412,40.81533,4.0,USA
-73.9199295043945,40.815113067627,4.0,USA
-73.92714,40.81942,2.5,USA
-73.9256584024287,40.8287737724852,3.5,USA
-73.91971,40.83489,4.0,USA
-73.9218099,40.817,3.5,USA
-73.9285803,40.812257,3.5,USA
-73.9095000441801,40.822782369758,4.5,USA
-73.9279800807582,40.8241674799833,4.5,USA
-73.902717590332,40.8223876953125,3.5,USA
-73.9238662719727,40.8098182678223,4.5,USA
-73.9447144351328,40.8208581437951,4.0,USA
-73.944206237793,40.8069267272949,4.0,USA
-73.943642,40.8104436,4.0,USA
-73.9160791,40.8155408,3.5,USA
-73.93022,40.8197,2.5,USA
-73.9198612,40.8157713,3.5,USA
-73.915947,40.8196716,3.5,USA
-73.926092,40.8273327,2.5,USA
-73.9449808870425,40.8088408787201,3.5,USA
-73.943,40.811818,3.5,USA
-73.9437282085419,40.8256877064888,3.5,USA
-73.921131,40.826944,3.5,USA
-73.92501,40.82715,4.0,USA
-73.916493,40.81837,2.5,USA
-73.9026031,40.8318596,4.0,USA
-73.943923,40.820644,4.0,USA
-73.9170837,40.8078918,3.5,USA
-73.9455163,40.8242006,4.0,USA
-73.93965,40.82153,3.5,USA
-73.9452161405442,40.8242411149966,3.5,USA
-73.927237,40.8194,3.0,USA
-73.916672,40.817657,2.0,USA
-73.9168399,40.81591,3.5,USA
-73.93927,40.826965,3.0,USA
-73.9244039,40.8270528,3.5,USA
-73.92707,40.81153,4.0,USA
-73.943893,40.825565,4.5,USA
-73.936081,40.799931,3.5,USA
-73.92544,40.827481,4.0,USA
-73.9448598,40.8079409,3.5,USA
-73.9024218544364,40.8123321379273,4.0,USA
-73.9429281,40.8218073,4.0,USA
-73.9395,40.81642,3.0,USA
-73.92424,40.8275999,2.5,USA
-73.917702,40.825765,3.5,USA
-73.917739,40.83256,3.0,USA
-73.91489,40.81444,3.5,USA
-73.94471,40.800509,4.5,USA
-73.937219,40.80493,2.5,USA
-73.94517,40.80195,4.0,USA
-73.94105,40.81338,3.5,USA
-73.93838,40.80283,3.5,USA
-73.922898161895,40.824379528601,3.0,USA
-73.90261,40.81588,4.0,USA
-73.9178,40.8066699,4.0,USA
-73.91343,40.82463,3.5,USA
-73.919679,40.8142274,2.5,USA
-73.93763,40.81918,3.5,USA
-73.94605,40.81688,4.5,USA
-73.9441996673648,40.814182048761,3.5,USA
-73.90322,40.83208,5.0,USA
-73.9074515,40.8127372,3.5,USA
-73.9194799,40.80751,4.5,USA
-73.924088,40.812451,4.0,USA
-73.9425248,40.8377037,4.0,USA
-73.926383972168,40.8196182250977,2.5,USA
-73.9381812037132,40.8233607931338,3.5,USA
-73.94033,40.815448,3.5,USA
-73.91749,40.81495,3.5,USA
-73.91827,40.81512,4.0,USA
-73.9107900112867,40.830590357475,3.0,USA
-73.94412,40.81528,2.5,USA
-73.9204940795898,40.8170776367188,2.5,USA
-73.912773,40.821045,4.5,USA
-73.90167,40.82008,4.0,USA
-73.9449878409505,40.8341509897024,3.0,USA
-73.9367536,40.8205004,4.0,USA
-73.90201,40.81926,3.5,USA
-73.9094186599609,40.8268926161968,3.0,USA
-73.9418902248144,40.8124997466803,4.0,USA
-73.91911,40.81685,3.0,USA
-73.9143362,40.8332387,3.0,USA
-73.91861,40.81527,3.5,USA
-73.94445,40.81356,3.5,USA
-73.9192687,40.807906,2.5,USA
-73.94624,40.80761,2.5,USA
-73.90583,40.8178399,4.5,USA
-73.90337,40.81002,3.0,USA
-73.9193890171496,40.8256440315781,2.5,USA
-73.94496,40.8344,4.0,USA
-73.9215215295553,40.8312410116196,4.5,USA
-73.941345,40.823066,4.0,USA
-73.9220886230469,40.8174095153809,4.0,USA
-73.9441479742527,40.8355357692981,3.5,USA
-73.9234081283212,40.8176628132443,3.5,USA
-73.89668,40.82251,5.0,USA
-73.9259262,40.8278084,4.0,USA
-73.94452,40.80755,2.5,USA
-73.9456163,40.8133004,3.0,USA
-73.92305,40.80859,2.5,USA
-73.9422603,40.8012735,3.5,USA
-73.917109,40.833995,4.0,USA
-73.9133950213959,40.8199502681327,3.0,USA
-73.94511,40.80783,5.0,USA
-73.9068994362503,40.8128368845012,3.5,USA
-73.9402397792596,40.8386021168729,3.5,USA
-73.94503,40.82923,4.5,USA
-73.93802,40.82871,4.0,USA
-73.9445031,40.8092674,2.5,USA
-73.9206752926111,40.827354490757,3.5,USA
-73.93752,40.81914,4.5,USA
-73.913984,40.805913,3.0,USA
-73.94194,40.823394,3.5,USA
-73.9225669205189,40.8265218804061,2.5,USA
-73.944938659668,40.8072357177734,3.5,USA
-73.9387283325195,40.8367919921875,3.5,USA
-73.91725,40.81573,3.5,USA
-73.9275591,40.8069024,2.5,USA
-73.9001079,40.8314028,3.5,USA
-73.94488,40.80815,3.5,USA
-73.941617,40.822932,2.0,USA
-73.9422886944436,40.8325359819557,4.0,USA
-73.91909,40.80721,3.0,USA
-73.93951,40.82645,4.0,USA
-73.9340828530467,40.8024387069236,3.5,USA
-73.9452933,40.8338876,3.5,USA
-73.92115,40.83543,3.5,USA
-73.938156,40.805004,3.5,USA
-73.940411,40.815358,3.5,USA
-73.9415999,40.83318,3.5,USA
-73.9187496783578,40.8065370599653,4.0,USA
-73.94051,40.81923,3.5,USA
-73.9182492345571,40.8164118887743,2.5,USA
-73.93792,40.80345,3.5,USA
-73.9403837917472,40.8348031139826,4.5,USA
-73.94288,40.81196,2.5,USA
-73.94506,40.80729,3.5,USA
-73.91789,40.82626,3.5,USA
-73.9404931291938,40.8000680303579,3.5,USA
-73.94185,40.81322,3.5,USA
-73.94405,40.81934,3.0,USA
-73.9109533,40.8159851,1.5,USA
-73.9418373728226,40.8382756893285,3.0,USA
-73.9001,40.8308899,3.5,USA
-73.93003,40.832,3.5,USA
-73.941041,40.838606,3.5,USA
-73.9211922883987,40.8266456863446,3.5,USA
-73.9437671005726,40.8359791338444,4.0,USA
-73.9453064,40.8347509,3.5,USA
-73.913589,40.819832,1.0,USA
-73.91434,40.83325,4.0,USA
-73.913984,40.805913,2.5,USA
-73.92503,40.82712,3.5,USA
-73.94031,40.81435,3.0,USA
-73.91774,40.80677,3.5,USA
-73.927112,40.819014,3.0,USA
-73.8963884,40.815933,1.5,USA
-73.9394073,40.8055305,2.5,USA
-73.9179153,40.8071518,3.0,USA
-73.94559,40.80718,3.5,USA
-73.92238,40.8094899,3.0,USA
-73.922245,40.81743,2.0,USA
-73.8964272,40.8208551,3.0,USA
-73.9361,40.821,2.5,USA
-73.89742,40.82203,2.0,USA
-73.91064,40.80048,2.5,USA
-73.91311,40.80482,2.5,USA
-73.9187,40.83815,1.5,USA
-73.9213217049837,40.8263379335403,3.5,USA
-73.9263369,40.8269227,3.0,USA
-73.9377855,40.801592,4.0,USA
-73.9417,40.82258,3.5,USA
-73.9419602962225,40.8225557826076,3.0,USA
-73.9206806916045,40.8249679669216,1.0,USA
-73.9450805,40.8238416,3.0,USA
-73.9189435341721,40.8351145691322,3.0,USA
-73.90463,40.81247,3.5,USA
-73.91509,40.83389,4.0,USA
-73.9418023908753,40.8133599154897,3.0,USA
-73.9226446857708,40.8356520135598,3.5,USA
-73.9443512,40.8235512,3.0,USA
-73.9454584,40.8241755,3.5,USA
-73.9374062,40.8043813,2.5,USA
-73.91909,40.82556,2.5,USA
-73.9381714,40.8224602,2.5,USA
-73.9383544921875,40.8219299316406,3.5,USA
-73.9427455,40.8374026,4.0,USA
-73.9256695657969,40.8063345654647,3.0,USA
-73.9153637,40.8337123,3.0,USA
-73.93802,40.82871,2.5,USA
-73.915024,40.818626,4.0,USA
-73.9379834,40.8235248,1.5,USA
-73.9245147705078,40.8100891113281,3.0,USA
-73.9218950271606,40.8357620393808,3.0,USA
-73.9396286010742,40.8246154785156,3.5,USA
-73.93811,40.80436,1.0,USA
-73.93831,40.805066,3.5,USA
-73.940437,40.835598,3.5,USA
-73.9374677932541,40.8140856197308,2.5,USA
-73.920578,40.8356628,2.0,USA
-73.9432013713855,40.8361012161094,2.5,USA
-73.9019092366285,40.819878335308,4.0,USA
-73.9187,40.8166,2.0,USA
-73.94267,40.83665,2.5,USA
-73.94531,40.82869,3.0,USA
-73.91474,40.83366,3.0,USA
-73.936707,40.814108,3.0,USA
-73.90208,40.83188,1.0,USA
-73.93908,40.81131,5.0,USA
-73.9404103159904,40.8001850545406,4.0,USA
-73.924894,40.812031,1.0,USA
-73.901186,40.830985,1.0,USA
-73.9430563151836,40.8362922817469,3.5,USA
-73.916679,40.831184,3.0,USA
-73.90975,40.83732,1.0,USA
-73.9450317621231,40.8076429367065,2.5,USA
-73.9213333129883,40.8357772827148,2.5,USA
-73.93631,40.8208,2.0,USA
-73.930367,40.824004,2.0,USA
-73.938942,40.8365211,1.5,USA
-73.8961639404297,40.8213195800781,2.5,USA
-73.9454751,40.8132892,3.5,USA
-73.92697,40.8198999,2.5,USA
-73.9208,40.83573,3.5,USA
-73.9413396442592,40.8179361600449,1.5,USA
-73.8965443,40.8162034,4.0,USA
-73.9138274,40.8237661,2.0,USA
-73.9205430885049,40.8079894733574,1.5,USA
-73.9344788,40.8020401,2.5,USA
-73.94018,40.83571,3.0,USA
-73.941829,40.806272,2.0,USA
-73.920671,40.82477,2.5,USA
-73.94044,40.83476,3.0,USA
-73.91328,40.80741,2.0,USA
-73.914412,40.815112,1.5,USA
-73.945083,40.833084,2.5,USA
-73.91926,40.81438,1.5,USA
-73.9274,40.83752,3.5,USA
-73.92016,40.83522,2.5,USA
-73.9425,40.83778,3.0,USA
-73.94178,40.812233,2.0,USA
-73.936261,40.820862,2.0,USA
-73.92464,40.81224,2.0,USA
-73.93588,40.80357,5.0,USA
-73.9463817825413,40.800489,2.5,USA
-73.90401,40.8325,1.5,USA
-73.9411675,40.8384627,3.5,USA
-73.94356,40.81086,2.5,USA
-73.9438781738281,40.8207054138184,2.5,USA
-73.8970032,40.8292885,3.0,USA
-73.897241,40.821249,4.0,USA
-73.9379662,40.8381476,2.5,USA
-73.938115817791,40.8379616534959,4.0,USA
-73.9422531,40.8384209,3.0,USA
-73.927409,40.819096,2.5,USA
-73.90354,40.83069,2.5,USA
-73.9392905,40.8164177,2.5,USA
-73.92016,40.83522,3.0,USA
-73.9410934,40.805378,2.5,USA
-73.9417448945408,40.8060111998152,2.5,USA
-73.9093791,40.8248661,3.0,USA
-73.917053,40.816261,1.0,USA
-73.9252853393555,40.8280156546811,1.5,USA
-73.9086250169282,40.8251832914503,2.0,USA
-73.92442,40.82765,3.0,USA
-73.9305676301466,40.8216290926076,1.5,USA
-73.895504,40.8229701,2.0,USA
-73.9434901,40.8108762,3.5,USA
-73.9168399,40.81591,2.5,USA
-73.9454151518714,40.807753103192,3.5,USA
-73.90809,40.82946,2.5,USA
